XREF_HIERARCHY_KEY,HIERARCHY_GROUP_NAME,LEVEL_1_SORT,LEVEL_1,LEVEL_2_SORT,LEVEL_2,LEVEL_3_SORT,LEVEL_3,LEVEL_4_SORT,LEVEL_4,LEVEL_5_SORT,LEVEL_5,LEVEL_6_SORT,LEVEL_6,LEVEL_7_SORT,LEVEL_7,LEVEL_8_SORT,LEVEL_8,LEVEL_9_SORT,LEVEL_9,ID_NAME,DO_NOT_EXPAND_FLAG,IS_SECURED_FLAG,SPLIT_ACTIVE_FLAG,EXCLUSION_FLAG,CALCULATION_FLAG,ACTIVE_FLAG,VOLUME_FLAG,ID_UNPIVOT_FLAG,ID_ROW_FLAG,FILTER_GROUP_1,FILTER_GROUP_2,FILTER_GROUP_3,FILTER_GROUP_4,FORMULA_GROUP,SIGN_CHANGE_FLAG,FORMULA_PRECEDENCE,FORMULA_PARAM_REF,ARITHMETIC_LOGIC,FORMULA_REF_SOURCE,FORMULA_REF_TABLE,FORMULA_PARAM2_CONST_NUMBER,CREATE_NEW_COLUMN
1,Midstream Operating Statement,1,Midstream,-1,NYMEX Henry Hub Close,1,NYMEX Henry Hub Close,10,NYMEX Henry Hub Close,0,,0,,0,,0,,0,,,false,false,false,false,false,true,true,true,false,Volumes,Nymex Gas,,,Nymex_Gas,false,,,,,,,false
2,Midstream Operating Statement,1,Midstream,0,Gross Volume,2,Gross Gas Volume (MCF),15,Gross Gas Volume (MCF),0,,0,,0,,0,,0,,,false,false,false,false,false,true,true,true,false,Volumes,Gross Gas Volume (MCF),,,Gross_Volume,false,,,,,,,false
3,Midstream Operating Statement,1,Midstream,1,Daily Throughput (MMBtu/d),3,Daily Throughput (MMBtu/d),20,Daily Throughput (MMBtu/d),0,,0,,0,,0,,0,,,false,false,false,false,true,true,true,true,false,Volumes,Gross Gas Volume (MCF),,,Gross_Volume,false,1,Gross_Volume,Divide,DAYS(SERVICE_DATE_LAST_DAY_OF_MONTH),__DATE_SERVICE_DATE_PERIOD,,false
4,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,6,Gas Sales Revenue,101,Gas Sales - EM,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream,MidstreamGas Sales RevenueGas Sales RevenueGas Sales - EM,,,Total Sales Revenue,true,,,,,,,false
5,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,6,Gas Sales Revenue,103,Gas Sales - RS,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream,MidstreamGas Sales RevenueGas Sales RevenueGas Sales - RS,,,Total Sales Revenue,true,,,,,,,false
6,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,7,Imbalance - Cashout Sales,107,Imbalance - Shipper Cashout Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,ImbalanceImbalance - Shipper Cashout Sales,,,Total Sales Revenue,true,,,,,,,false
7,Midstream Operating Statement,1,Midstream,2,Gas Sales Revenue,7,Imbalance - Cashout Sales,109,Imbalance - PL Cashout Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,ImbalanceImbalance - PL Cashout Sales,,,Total Sales Revenue,true,,,,,,,false
8,Midstream Operating Statement,1,Midstream,3,NGL Sales Revenue,9,NGL Sales,111,NGL Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,NGL SalesNGL Sales,,,Total Sales Revenue,true,,,,,,,false
9,Midstream Operating Statement,1,Midstream,4,Condensate Sales,10,Condensate Sales,113,Condensate Sales,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Revenue,Condensate SalesCondensate Sales,,,Total Sales Revenue,true,,,,,,,false
10,Midstream Operating Statement,1,Midstream,5,Total Gas Revenue,11,Total Gas Revenue,122,Total Gas Revenue,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Revenue,Total Sales RevenueTotal Sales Revenue,,,Total Sales Revenue,true,1,Total Sales Revenue,Sum,,,,false
15,Midstream Operating Statement,1,Midstream,7,Total Cost of Gas,30,Total Cost of Gas,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Cost of Gas,Total Cost of Gas,,,Total Cost of Gas,false,1,Total Cost of Gas,Sum,,,,false
16,Midstream Operating Statement,1,Midstream,9,Net Buy/Sell Activity,35,Net Buy/Sell Activity,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Buy/Sell Activity,Net Buy/Sell Activity,,,Net Buy/Sell Activity,false,2,Total Cost of Gas,Subtract,,,,false
17,Midstream Operating Statement,1,Midstream,9,Net Buy/Sell Activity,35,Net Buy/Sell Activity,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Buy/Sell Activity,Net Buy/Sell Activity,,,Net Buy/Sell Activity,false,2,Total Sales Revenue,Add,,,,false
18,Midstream Operating Statement,1,Midstream,10,Service Revenue,40,Service Revenue - GTH,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - GTHService Revenue - GTH,,,Total Service Revenue,true,,,,,,,false
19,Midstream Operating Statement,1,Midstream,10,Service Revenue,41,Service Revenue - CMP,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - CMPService Revenue - CMP,,,Total Service Revenue,true,,,,,,,false
20,Midstream Operating Statement,1,Midstream,10,Service Revenue,42,Service Revenue - TRT,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - TRTService Revenue - TRT,,,Total Service Revenue,true,,,,,,,false
21,Midstream Operating Statement,1,Midstream,10,Service Revenue,43,Service Revenue - CND,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - CNDService Revenue - CND,,,Total Service Revenue,true,,,,,,,false
22,Midstream Operating Statement,1,Midstream,10,Service Revenue,44,Service Revenue - Misc,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - MiscService Revenue - Misc,,,Total Service Revenue,true,,,,,,,false
23,Midstream Operating Statement,1,Midstream,10,Service Revenue,45,Service Revenue - RNT,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - RNTService Revenue - RNT,,,Total Service Revenue,true,,,,,,,false
24,Midstream Operating Statement,1,Midstream,10,Service Revenue,46,Service Revenue - TRN,,,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Service Revenue,Service Revenue - TRNService Revenue - TRN,,,Total Service Revenue,true,,,,,,,false
25,Midstream Operating Statement,1,Midstream,11,Total Service Revenue,50,Total Service Revenue,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Service Revenue,Total Service Revenue,,,Total Service Revenue,false,1,Total Service Revenue,Sum,,,,false
27,Midstream Operating Statement,1,Midstream,20,Gross Profit,55,Gross Profit,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Gross Profit,Gross Profit,,,Gross Profit,false,2,Total Sales Revenue,Add,,,,false
28,Midstream Operating Statement,1,Midstream,20,Gross Profit,55,Gross Profit,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Gross Profit,Gross Profit,,,Gross Profit,false,2,Total Cost of Gas,Subtract,,,,false
29,Midstream Operating Statement,1,Midstream,20,Gross Profit,55,Gross Profit,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Gross Profit,Gross Profit,,,Gross Profit,false,2,Total Service Revenue,Add,,,,false
30,Midstream Operating Statement,1,Midstream,50,Operating Expense,56,Chemicals,120,Recurring,10000,Variable,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringChemicalsVariable,,,Total Operating Expense,false,,,,,,,false
31,Midstream Operating Statement,1,Midstream,50,Operating Expense,57,Compression,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringCompressionFixed,,,Total Operating Expense,false,,,,,,,false
32,Midstream Operating Statement,1,Midstream,50,Operating Expense,58,Environmental,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringEnvironmentalFixed,,,Total Operating Expense,false,,,,,,,false
33,Midstream Operating Statement,1,Midstream,50,Operating Expense,59,Equipment,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringEquipmentFixed,,,Total Operating Expense,false,,,,,,,false
34,Midstream Operating Statement,1,Midstream,50,Operating Expense,59,Equipment,120,Recurring,10000,Variable,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringEquipmentVariable,,,Total Operating Expense,false,,,,,,,false
35,Midstream Operating Statement,1,Midstream,50,Operating Expense,60,Labor,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringLaborFixed,,,Total Operating Expense,false,,,,,,,false
36,Midstream Operating Statement,1,Midstream,50,Operating Expense,60,Labor,120,Recurring,10000,Variable,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringLaborVariable,,,Total Operating Expense,false,,,,,,,false
43,Midstream Operating Statement,1,Midstream,51,Total Operating Expense,75,Total Operating Expense,126,Total Operating Expense,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Operating Expense,Total Operating ExpenseTotal Operating Expense,,,Total Operating Expense,false,1,Total Operating Expense,Sum,,,,false
45,Midstream Operating Statement,1,Midstream,55,Third Party Service Fees,78,Third Party Gathering & Processing Expense,132,Midstream Fees Paid - Treating,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream Fees Paid,Third Party Gathering & Processing ExpenseMidstream Fees Paid - Treating,,,Total Third Party Service Fees,false,,,,,,,false
46,Midstream Operating Statement,1,Midstream,55,Third Party Service Fees,78,Third Party Gathering & Processing Expense,133,Midstream Fees Paid - Misc Gathering Fees,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream Fees Paid,Third Party Gathering & Processing ExpenseMidstream Fees Paid - Misc Gathering Fees,,,Total Third Party Service Fees,false,,,,,,,false
47,Midstream Operating Statement,1,Midstream,55,Third Party Service Fees,78,Third Party Gathering & Processing Expense,134,Midstream Fees Paid - Accrual,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream Fees Paid,Third Party Gathering & Processing ExpenseMidstream Fees Paid - Accrual,,,Total Third Party Service Fees,false,,,,,,,false
48,Midstream Operating Statement,1,Midstream,55,Third Party Service Fees,78,Third Party Gathering & Processing Expense,135,Total Third Party Gathering & Processing Expense,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream Fees Paid,Third Party Gathering & Processing ExpenseTotal Third Party Gathering & Processing Expense,,,Total Third Party Service Fees,false,,,,,,,false
49,Midstream Operating Statement,1,Midstream,55,Third Party Service Fees,78,Third Party Gathering & Processing Expense,136,Midstream Fees Paid - Gathering,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream Fees Paid,Third Party Gathering & Processing ExpenseMidstream Fees Paid - Gathering,,,Total Third Party Service Fees,false,,,,,,,false
50,Midstream Operating Statement,1,Midstream,55,Third Party Service Fees,77,Third Party Downstream Svc Expense,137,Third Party Downstream Svc Expense,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Midstream Fees Paid,Third Party Downstream Svc ExpenseThird Party Downstream Svc Expense,,,Total Third Party Service Fees,false,,,,,,,false
51,Midstream Operating Statement,1,Midstream,57,Total Third Party Service Fees,79,Total Third Party Service Fees,138,Total Third Party Service Fees,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Midstream Fees Paid,Total Third Party Service FeesTotal Third Party Service Fees,,,Total Third Party Service Fees,false,1,Total Third Party Service Fees,Sum,,,,false
52,Midstream Operating Statement,1,Midstream,60,Total Opex and 3rd party service fees,80,Total Opex and 3rd party service fees,139,Total Opex and 3rd party service fees,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Total Opex and 3rd party service fees,Total Opex and 3rd party service fees,,,Total Opex and 3rd party service fees,false,2,Total Operating Expense,Add,,,,false
53,Midstream Operating Statement,1,Midstream,60,Total Opex and 3rd party service fees,80,Total Opex and 3rd party service fees,139,Total Opex and 3rd party service fees,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Total Opex and 3rd party service fees,Total Opex and 3rd party service fees,,,Total Opex and 3rd party service fees,false,2,Total Third Party Service Fees,Add,,,,false
56,Midstream Operating Statement,1,Midstream,70,EBITDA,100,Net Operating Income,140,Net Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Net Operating IncomeNet Operating Income,,,Net Operating Income,false,3,Total Sales Revenue,Add,,,,false
57,Midstream Operating Statement,1,Midstream,70,EBITDA,100,Net Operating Income,140,Net Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Net Operating IncomeNet Operating Income,,,Net Operating Income,false,3,Total Cost of Gas,Subtract,,,,false
58,Midstream Operating Statement,1,Midstream,70,EBITDA,100,Net Operating Income,140,Net Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Net Operating IncomeNet Operating Income,,,Net Operating Income,false,3,Total Service Revenue,Add,,,,false
59,Midstream Operating Statement,1,Midstream,70,EBITDA,100,Net Operating Income,140,Net Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Net Operating IncomeNet Operating Income,,,Net Operating Income,false,3,Total Operating Expense,Subtract,,,,false
60,Midstream Operating Statement,1,Midstream,70,EBITDA,100,Net Operating Income,140,Net Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Net Operating IncomeNet Operating Income,,,Net Operating Income,false,3,Total Third Party Service Fees,Subtract,,,,false
26,Midstream Operating Statement,1,Midstream,12,Unit Revenue/MMBtu,51,Unit Revenue/MMBtu,,,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Service Revenue,Unit Revenue/MMBtu,,,Unit Revenue/MMBtu,false,4,Total Service Revenue,Divide,Gas_Volume,,,true
44,Midstream Operating Statement,1,Midstream,52,Unit Operating Expense (Controllable),76,Unit Operating Expense (Controllable),127,Unit Operating Expense (Controllable),0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Operating Expense,Unit Operating Expense (Controllable),,,Unit Operating Expense (Controllable),false,4,Total Operating Expense,Divide,Gas_Volume,,,true
54,Midstream Operating Statement,1,Midstream,61,Unit Opex and 3rd party service fees,81,Unit Opex and 3rd party service fees,139,Total Opex and 3rd party service fees,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Total Opex and 3rd party service fees,Unit Opex and 3rd party service fees,,,Unit Opex and 3rd party service fees,false,4,Total Operating Expense,Divide,Gas_Volume,,,true
55,Midstream Operating Statement,1,Midstream,61,Unit Opex and 3rd party service fees,81,Unit Opex and 3rd party service fees,139,Total Opex and 3rd party service fees,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Total Opex and 3rd party service fees,Unit Opex and 3rd party service fees,,,Unit Opex and 3rd party service fees,false,4,Total Third Party Service Fees,Divide,Gas_Volume,,,true
61,Midstream Operating Statement,1,Midstream,71,Unit Operating Income,101,Unit Operating Income,141,Unit Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Unit Operating Income,,,Unit Operating Income,false,4,Total Sales Revenue,Divide,Gas_Volume,,,true
62,Midstream Operating Statement,1,Midstream,71,Unit Operating Income,101,Unit Operating Income,141,Unit Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Unit Operating Income,,,Unit Operating Income,true,4,Total Cost of Gas,Divide,Gas_Volume,,,true
63,Midstream Operating Statement,1,Midstream,71,Unit Operating Income,101,Unit Operating Income,141,Unit Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Unit Operating Income,,,Unit Operating Income,false,4,Total Service Revenue,Divide,Gas_Volume,,,true
64,Midstream Operating Statement,1,Midstream,71,Unit Operating Income,101,Unit Operating Income,141,Unit Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Unit Operating Income,,,Unit Operating Income,true,4,Total Operating Expense,Divide,Gas_Volume,,,true
65,Midstream Operating Statement,1,Midstream,71,Unit Operating Income,101,Unit Operating Income,141,Unit Operating Income,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Net Operating Income,Unit Operating Income,,,Unit Operating Income,true,4,Total Third Party Service Fees,Divide,Gas_Volume,,,true
66,Midstream Operating Statement,1,Midstream,100,Capital Expenditures,110,Midstream CAPEX,153,Midstream facility costs,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Capital Spend,Midstream CAPEXMidstream facility costs,,,Total Capital Spend,false,,,,,,,false
67,Midstream Operating Statement,1,Midstream,100,Capital Expenditures,110,Midstream CAPEX,154,Midstream facility costs accrual,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Capital Spend,Midstream CAPEXMidstream facility costs accrual,,,Total Capital Spend,false,,,,,,,false
68,Midstream Operating Statement,1,Midstream,100,Capital Expenditures,110,Midstream CAPEX,155,Accrued CAPEX,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Capital Spend,Midstream CAPEXAccrued CAPEX,,,Total Capital Spend,false,,,,,,,false
69,Midstream Operating Statement,1,Midstream,100,Capital Expenditures,120,Total Capital Spend,158,Total Capital Spend,0,,0,,0,,0,,0,,,false,false,false,false,true,true,false,false,true,Capital Spend,Total Capital SpendTotal Capital Spend,,,Total Capital Spend,false,1,Total Capital Spend,Sum,,,,false
11,Midstream Operating Statement,1,Midstream,6,Cost of Gas,12,Cost of Purchased Gas,121,Cost of Purchased Gas,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Cost of Gas,Cost of Gas PurchasedCost of Gas Purchased,,,Total Cost of Gas,false,,,,,,,false
12,Midstream Operating Statement,1,Midstream,6,Cost of Gas,13,Imbalance - Cashout Purchases,115,Imbalance - Shipper Cashout Purchases,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Cost of Gas,ImbalanceImbalance - Shipper Cashout Purchases,,,Total Cost of Gas,false,,,,,,,false
13,Midstream Operating Statement,1,Midstream,6,Cost of Gas,13,Imbalance - Cashout Purchases,116,Imbalance - PL Cashout Purchases,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Cost of Gas,ImbalanceImbalance - PL Cashout Purchases,,,Total Cost of Gas,false,,,,,,,false
14,Midstream Operating Statement,1,Midstream,6,Cost of Gas,14,Transport Deduct,117,Cost of NGLs,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Cost of Gas,Transport DeductCost of NGLs,,,Total Cost of Gas,false,,,,,,,false
70,Midstream Operating Statement,1,Midstream,6,Cost of Gas,15,Transportation Expense,118,Transportation Expense,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Cost of Gas,Cost of GasTransportation Expense,,,Total Cost of Gas,false,,,,,,,false
37,Midstream Operating Statement,1,Midstream,50,Operating Expense,63,Misc,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringMiscFixed,,,Total Operating Expense,false,,,,,,,false
38,Midstream Operating Statement,1,Midstream,50,Operating Expense,63,Misc,120,Recurring,10000,Variable,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringMiscVariable,,,Total Operating Expense,false,,,,,,,false
39,Midstream Operating Statement,1,Midstream,50,Operating Expense,64,Repair,120,Recurring,10000,Variable,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringRepairVariable,,,Total Operating Expense,false,,,,,,,false
40,Midstream Operating Statement,1,Midstream,50,Operating Expense,64,Repair,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringRepairFixed,,,Total Operating Expense,false,,,,,,,false
42,Midstream Operating Statement,1,Midstream,50,Operating Expense,67,MOX,125,Non-Recurring,0,,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,Non-RecurringMOX,,,Total Operating Expense,false,,,,,,,false
41,Midstream Operating Statement,1,Midstream,50,Operating Expense,65,Taxes,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringTaxesFixed,,,Total Operating Expense,false,,,,,,,false
71,Midstream Operating Statement,1,Midstream,50,Operating Expense,66,Accruals,120,Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,RecurringAccrualsFixed,,,Total Operating Expense,false,,,,,,,false
72,Midstream Operating Statement,1,Midstream,50,Operating Expense,66,Accruals,125,Non-Recurring,20000,Fixed,0,,0,,0,,0,,,false,false,false,false,false,true,false,false,true,Operating Expense,NonRecurringAccrualsFixed,,,Total Operating Expense,false,,,,,,,false
