HIERARCHY_ID,HIERARCHY_NAME,PARENT_HIERARCHY,SOURCE_COLUMN,CONDITION_TYPE,CONDITION_VALUE,MAPPED_VALUE
ACCTCODE_640-992,640-992,acctcode,account_code,ILIKE,%COPAS%,640-992
ADJBILLCAT_PAC990,PAC990,adjbillcat,transaction_description,=,641-990,PAC990
ADJBILLCAT_NLOE990,NLOE990,adjbillcat,transaction_description,IN,641-990,NLOE990
ADJBILLCAT_NLOE990,NLOE990,adjbillcat,transaction_description,IN,640-990,NLOE990
"STATE_NULL
________WHEN_PROPS.C","NULL
        WHEN props.cost_center_state IN (",state,cost_center_state,ILIKE,%UNKNOWN%,"NULL
        WHEN props.cost_center_state IN ("
"STATE_NULL
________WHEN_PROPS.C","NULL
        WHEN props.cost_center_state IN (",state,cost_center_state,ILIKE,%N/A%,"NULL
        WHEN props.cost_center_state IN ("
"PRODUCTID_NULL
________ELSE_ENTRIES","NULL
        ELSE entries.product_code",productid,product_code,=,N/A,"NULL
        ELSE entries.product_code"
GL_CASH,Cash,gl,account_code,ILIKE,101%,Cash
GL_AFFILIATE_AR,Affiliate AR,gl,account_code,ILIKE,125%,Affiliate AR
GL_AR,AR,gl,account_code,ILIKE,11%,AR
GL_AR,AR,gl,account_code,ILIKE,12%,AR
GL_PREPAID_EXPENSES,Prepaid Expenses,gl,account_code,ILIKE,13%,Prepaid Expenses
GL_INVENTORY,Inventory,gl,account_code,ILIKE,14%,Inventory
GL_OTHER_CURRENT_ASSETS,Other Current Assets,gl,account_code,ILIKE,15%,Other Current Assets
GL_OTHER_CURRENT_ASSETS,Other Current Assets,gl,account_code,ILIKE,16%,Other Current Assets
GL_DERIVATIVE_ASSETS,Derivative Assets,gl,account_code,ILIKE,17%,Derivative Assets
GL_DEFERRED_TAX_ASSETS,Deferred Tax Assets,gl,account_code,ILIKE,18%,Deferred Tax Assets
GL_CAPEX,Capex,gl,account_code,IN,205-102,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-106,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-112,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-116,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-117,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-152,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-190,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-202,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-206,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-252,Capex
GL_CAPEX,Capex,gl,account_code,IN,205-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,210-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,210-140,Capex
GL_CAPEX,Capex,gl,account_code,IN,210-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,215-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,215-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,220-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,220-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,225-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,225-140,Capex
GL_CAPEX,Capex,gl,account_code,IN,225-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,230-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,230-140,Capex
GL_CAPEX,Capex,gl,account_code,IN,230-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,232-200,Capex
GL_CAPEX,Capex,gl,account_code,IN,232-210,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-105,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-115,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-116,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-120,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-250,Capex
GL_CAPEX,Capex,gl,account_code,IN,235-275,Capex
GL_CAPEX,Capex,gl,account_code,IN,240-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,240-140,Capex
GL_CAPEX,Capex,gl,account_code,IN,240-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,242-150,Capex
GL_CAPEX,Capex,gl,account_code,IN,242-160,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-110,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-140,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-410,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-440,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-560,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-590,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-610,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-640,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-990,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-995,Capex
GL_CAPEX,Capex,gl,account_code,IN,244-998,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-202,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-206,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-227,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-252,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-302,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-306,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-402,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-412,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-602,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-902,Capex
GL_CAPEX,Capex,gl,account_code,IN,245-906,Capex
GL_CAPEX,Capex,gl,account_code,IN,246-312,Capex
GL_CAPEX,Capex,gl,account_code,IN,246-346,Capex
GL_CAPEX,Capex,gl,account_code,IN,246-322,Capex
GL_CAPEX,Capex,gl,account_code,IN,246-316,Capex
GL_OTHER_ASSETS,Other Assets,gl,account_code,ILIKE,25%,Other Assets
GL_OTHER_ASSETS,Other Assets,gl,account_code,ILIKE,26%,Other Assets
GL_OTHER_ASSETS,Other Assets,gl,account_code,ILIKE,27%,Other Assets
GL_OTHER_ASSETS,Other Assets,gl,account_code,ILIKE,28%,Other Assets
GL_ACCUMULATED_DD&A,Accumulated DD&A,gl,account_code,ILIKE,29%,Accumulated DD&A
GL_AP,AP,gl,account_code,ILIKE,30%,AP
GL_AP,AP,gl,account_code,ILIKE,31%,AP
GL_AP,AP,gl,account_code,ILIKE,32%,AP
GL_AP,AP,gl,account_code,ILIKE,33%,AP
GL_AP,AP,gl,account_code,ILIKE,34%,AP
GL_TOTAL_DEBT,Total Debt,gl,account_code,ILIKE,35%,Total Debt
GL_TOTAL_DEBT,Total Debt,gl,account_code,ILIKE,45%,Total Debt
GL_OTHER_CURRENT_LIABILITIES,Other Current Liabilities,gl,account_code,ILIKE,36%,Other Current Liabilities
GL_OTHER_CURRENT_LIABILITIES,Other Current Liabilities,gl,account_code,ILIKE,37%,Other Current Liabilities
GL_OTHER_CURRENT_LIABILITIES,Other Current Liabilities,gl,account_code,ILIKE,38%,Other Current Liabilities
GL_OTHER_LIABILITIES,Other Liabilities,gl,account_code,ILIKE,44%,Other Liabilities
GL_OTHER_LIABILITIES,Other Liabilities,gl,account_code,ILIKE,46%,Other Liabilities
GL_OTHER_LIABILITIES,Other Liabilities,gl,account_code,ILIKE,47%,Other Liabilities
GL_OTHER_LIABILITIES,Other Liabilities,gl,account_code,ILIKE,48%,Other Liabilities
GL_EQUITY,Equity,gl,account_code,ILIKE,49%,Equity
GL_OIL_SALES,Oil Sales,gl,account_code,ILIKE,501%,Oil Sales
GL_GAS_SALES,Gas Sales,gl,account_code,ILIKE,502%,Gas Sales
GL_GAS_SALES,Gas Sales,gl,account_code,ILIKE,510%,Gas Sales
GL_NGL_SALES,NGL Sales,gl,account_code,ILIKE,503%,NGL Sales
GL_NGL_SALES,NGL Sales,gl,account_code,ILIKE,512%,NGL Sales
GL_NGL_SALES,NGL Sales,gl,account_code,ILIKE,513%,NGL Sales
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,504%,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,520%,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,570%,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-100,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-110,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-410,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-510,Other Income
GL_OTHER_INCOME,Other Income,gl,account_code,ILIKE,590-900,Other Income
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,514%,Cashouts
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,519%,Cashouts
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,518-120,Cashouts
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,590-710,Cashouts
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,674%,Cashouts
GL_CASHOUTS,Cashouts,gl,account_code,ILIKE,695%,Cashouts
GL_SERVICE_REVENUE,Service Revenue,gl,account_code,IN,515-100,Service Revenue
GL_SERVICE_REVENUE,Service Revenue,gl,account_code,IN,515-990,Service Revenue
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,515-110,Gathering Fees
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,515-199,Gathering Fees
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,610-110,Gathering Fees
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,610-120,Gathering Fees
GL_GATHERING_FEES,Gathering Fees,gl,account_code,IN,610-130,Gathering Fees
GL_COMPRESSION_FEES,Compression Fees,gl,account_code,IN,515-120,Compression Fees
GL_COMPRESSION_FEES,Compression Fees,gl,account_code,IN,613-110,Compression Fees
GL_COMPRESSION_FEES,Compression Fees,gl,account_code,IN,613-120,Compression Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,515-130,Treating Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,515-140,Treating Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,612-110,Treating Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,612-120,Treating Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,614-110,Treating Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,614-120,Treating Fees
GL_TREATING_FEES,Treating Fees,gl,account_code,IN,619-990,Treating Fees
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,gl,account_code,IN,515-210,Capital Recovery Fees
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,gl,account_code,IN,610-210,Capital Recovery Fees
GL_CAPITAL_RECOVERY_FEES,Capital Recovery Fees,gl,account_code,IN,610-220,Capital Recovery Fees
GL_DEMAND_FEES,Demand Fees,gl,account_code,=,517-110,Demand Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,517%,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,611-210,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,611-220,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,613-130,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,613-140,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-110,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-120,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-275,Transportation Fees
GL_TRANSPORTATION_FEES,Transportation Fees,gl,account_code,ILIKE,619-991,Transportation Fees
GL_GAS_SALES,Gas Sales,gl,account_code,ILIKE,518%,Gas Sales
GL_SERVICE_INCOME,Service Income,gl,account_code,=,530-100,Service Income
GL_SAND_SALES,Sand Sales,gl,account_code,IN,530-110,Sand Sales
GL_SAND_SALES,Sand Sales,gl,account_code,IN,530-111,Sand Sales
GL_SAND_SALES,Sand Sales,gl,account_code,IN,530-990,Sand Sales
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,515-205,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-120,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-140,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-720,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-990,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-991,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,530-993,Rental Income
GL_RENTAL_INCOME,Rental Income,gl,account_code,IN,590-310,Rental Income
GL_WATER_INCOME,Water Income,gl,account_code,IN,530-150,Water Income
GL_WATER_INCOME,Water Income,gl,account_code,IN,530-994,Water Income
GL_WATER_INCOME,Water Income,gl,account_code,IN,590-620,Water Income
GL_SWD_INCOME,SWD Income,gl,account_code,IN,530-160,SWD Income
GL_SWD_INCOME,SWD Income,gl,account_code,IN,530-995,SWD Income
GL_SWD_INCOME,SWD Income,gl,account_code,IN,590-610,SWD Income
GL_CONSULTING_INCOME,Consulting Income,gl,account_code,IN,530-170,Consulting Income
GL_CONSULTING_INCOME,Consulting Income,gl,account_code,IN,530-996,Consulting Income
GL_FUEL_INCOME,Fuel Income,gl,account_code,IN,530-180,Fuel Income
GL_FUEL_INCOME,Fuel Income,gl,account_code,IN,530-997,Fuel Income
GL_COPAS,COPAS,gl,account_code,IN,590-210,COPAS
GL_COPAS,COPAS,gl,account_code,IN,590-211,COPAS
GL_COPAS,COPAS,gl,account_code,IN,590-990,COPAS
GL_COPAS,COPAS,gl,account_code,IN,640-992,COPAS
GL_COMPRESSOR_RECOVERY_INCOM,Compressor Recovery Income,gl,account_code,=,590-555,Compressor Recovery Income
GL_RIG_TERMINATION_PENALTIES,Rig Termination Penalties,gl,account_code,=,590-850,Rig Termination Penalties
GL_GATHERING_FEE_INCOME,Gathering Fee Income,gl,account_code,=,590-991,Gathering Fee Income
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-100,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-110,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-113,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-120,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-123,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-275,Oil Severance Taxes
GL_OIL_SEVERANCE_TAXES,Oil Severance Taxes,gl,account_code,IN,601-990,Oil Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-100,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-110,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-113,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-120,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-123,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-275,Gas Severance Taxes
GL_GAS_SEVERANCE_TAXES,Gas Severance Taxes,gl,account_code,IN,602-990,Gas Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-100,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-110,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-113,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-120,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-123,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-275,NGL Severance Taxes
GL_NGL_SEVERANCE_TAXES,NGL Severance Taxes,gl,account_code,IN,603-990,NGL Severance Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,601-112,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,601-122,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,602-112,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,602-122,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,603-112,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,603-122,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,640-120,Ad Valorem Taxes
GL_AD_VALOREM_TAXES,Ad Valorem Taxes,gl,account_code,IN,640-991,Ad Valorem Taxes
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,gl,account_code,IN,601-111,Oil Conservation Taxes
GL_OIL_CONSERVATION_TAXES,Oil Conservation Taxes,gl,account_code,IN,601-121,Oil Conservation Taxes
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,gl,account_code,IN,602-111,Gas Conservation Taxes
GL_GAS_CONSERVATION_TAXES,Gas Conservation Taxes,gl,account_code,IN,602-121,Gas Conservation Taxes
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,gl,account_code,IN,603-111,NGL Conservation Taxes
GL_NGL_CONSERVATION_TAXES,NGL Conservation Taxes,gl,account_code,IN,603-121,NGL Conservation Taxes
GL_COMMODITY_FEES,Commodity Fees,gl,account_code,=,611-110,Commodity Fees
GL_NON-OP_FEES,Non-Op Fees,gl,account_code,ILIKE,611-120,Non-Op Fees
GL_NON-OP_FEES,Non-Op Fees,gl,account_code,ILIKE,62%,Non-Op Fees
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,630-1%,Consulting Expenses
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,710-170,Consulting Expenses
GL_CONSULTING_EXPENSES,Consulting Expenses,gl,account_code,ILIKE,710-996,Consulting Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-110,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-100,Lease Operating Expenses
GL_LEASE_OPERATING_EXPENSES,Lease Operating Expenses,gl,account_code,IN,640-275,Lease Operating Expenses
